state,crime_2020
Uttar Pradesh,11097
Karnataka,10741
Maharashtra,5496
Telangana,5024
Assam,3530
Odisha,1931
Andhra Pradesh,1899
Bihar,1512
Rajasthan,1354
Gujarat,1283
